imdbid	title	wdid	rtid	mmid
tt1741542	A Gang Story	Q593	les_lyonnais_2011	71345
tt1675434	The Intouchables	Q595	the_intouchables	80702
tt0104812	Map of the Human Heart	Q32424	map_of_the_human_heart	3751
tt0443272	Lincoln	Q32433	lincoln_2011	88925
tt0492044	The Haunting in Connecticut	Q45692	1188732-haunting_in_connecticut	45244
tt0457275	Altered	Q45794	null	40530
tt0397535	Memoirs of a Geisha	Q45839	memoirs_of_a_geisha	27773
tt1220220	Motherhood	Q45860	motherhood	52760
tt0084228	Labyrinth of Passion	Q46044	labyrinth_of_passion	9377
tt0075314	Taxi Driver	Q47221	taxi_driver	701
tt0041716	On the Town	Q32011	1015542-on_the_town	5144
tt0057372	The Nutty Professor	Q32228	1015348-nutty_professor	1336
tt0374639	Incident at Loch Ness	Q32241	incident_at_loch_ness	24350
tt2106476	The Hunt	Q32303	the_hunt_2013	83231
tt1361843	Van Diemen's Land	Q24154	van_diemens_land	60039
tt1772250	The Hidden Face	Q24196	la_cara_oculta	79908
tt0105764	Visions of Light	Q24258	visions_of_light_the_art_of_cinematography	31331
tt1533749	Shaolin	Q24515	shaolin	73120
tt0036341	The Seventh Victim	Q31212	null	3311
tt1436568	Assassination Games	Q31540	assassination_games	71055
tt1172991	The Company Men	Q31791	the-company-men	61384
tt0035244	Reap the Wild Wind	Q31971	null	12849
tt0073817	Swept Away	Q1365	1020710-swept_away	6742
tt1250777	Kick-Ass	Q2201	1217700	53857
tt0100758	Teenage Mutant Ninja Turtles	Q58439	teenage_mutant_ninja_turtles_the_movie	4766
tt0473188	The Death and Life of Bobby Z	Q38486	the_death_and_life_of_bobby_z	36092
tt0051808	The Hidden Fortress	Q39946	1009583-hidden_fortress	3397
tt0074512	Family Plot	Q47296	family_plot	1125
tt0076666	Saturday Night Fever	Q47654	saturday_night_fever	1790
tt1392197	Marmaduke	Q48734	marmaduke	9115
tt0482571	The Prestige	Q46551	prestige	38079
tt0091499	Maximum Overdrive	Q46637	maximum_overdrive	5162
tt0325980	Pirates of the Caribbean: The Curse of the Black Pearl	Q46717	pirates_of_the_caribbean_the_curse_of_the_black_pearl	7177
tt0042179	Abbott and Costello in the Foreign Legion	Q23896	null	6857
tt0120685	Godzilla	Q24075	godzilla	759
